From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
2332;2356;sea;11059;11153;9082;11059;6106;SVIR_RIVER;Leninhrd
1434;2332;sea;6174;3151;11068;6174;149;NEVA_RIVER;
13194;209;sea;11212;155;9045;11212;94;BELOMOR_CANAL;
843;8282;sea;6758;757;701;6758;6703;VOLGA_DON_CANAL;
8131;13125;sea;3701;687;11559;3701;9417;DUNAI_RIVER;
13127;1434;sea;104;4640;9120;104;4640;NARVA_RIVER;
;;;;;;;;;
8282;8308;sea;9680;-1;-1;-1;-1;KERCHENSKIY_STRAIT;
5864;5838;sea;11767;-1;-1;-1;-1;OTRANTO_STRAIT;
2752;8622;sea;3314;-1;-1;-1;-1;EISELMERSKAIA_DAMBA;
2800;2776;sea;5074;-1;-1;-1;-1;BAB_EL_MADENSKIY_PROLIV;
;;;;;;;;;
2708;7932;sea;4056;-1;-1;-1;-1;TSUSHIMA_STRAIT_PROLIV;
8791;7932;sea;11985;-1;-1;-1;-1;KAMMON_STRAIT_PROLIV;
5946;6824;sea;9859;-1;-1;-1;-1;TSUGARU_STRAIT_PROLIV;
;;;;;;;;;
2510;5295;sea;855;-1;-1;-1;-1;TATARSKIY_STRAIT_PROLIV;
5321;5295;sea;12559;-1;-1;-1;-1;TATARSKIY_STRAIT_PROLIV_1;
;;;;;;;;;
4465;2583;sea;4576;-1;-1;-1;-1;LAPERUZA_STRAIT_PROLIV;
4465;6442;sea;11969;-1;-1;-1;-1;LAPERUZA_STRAIT_PROLIV_1;
4465;2534;sea;1642;-1;-1;-1;-1;LAPERUZA_STRAIT_PROLIV_2;
;;;;;;;;;
5605;8941;sea;11773;-1;-1;-1;-1;TUNIS_STRAIT_PROLIV;
;;;;;;;;;
8895;5579;sea;6891;-1;-1;-1;-1;BONIFACIO_STRAIT_PROLIV;
;;;;;;;;;
8918;5555;sea;11804;-1;-1;-1;-1;CORSIC_STRAIT_PROLIV;
;;;;;;;;;
12251;10321;sea;8313;-1;-1;-1;-1;;Andaman
7413;1419;sea;5294;-1;-1;-1;-1;;Moluccas
10141;1419;sea;5267;-1;-1;-1;-1;;Moluccas
480;9431;sea;8621;-1;-1;-1;-1;;Netherlands outlier
8857;2284;sea;7617;1560;1009;1556;1016;PANAMA_CANAL;Panama
2729;2408;sea;6257;2949;1598;2962;1612;KIEL_CANAL;Kiel
5388;803;sea;1155;-1;-1;-1;-1;SUEZ_CANAL;Suez
299;211;sea;2282;-1;-1;-1;-1;;Småland-Öland
3260;3325;;2408;-1;-1;-1;-1;;Sjaelland-Fyn
3260;3374;;2408;-1;-1;2973;1625;;Sjaelland-SdFyn
3277;3325;;2408;-1;-1;-1;-1;;Fyn-Jylland
11251;3325;;2408;2956;1628;2960;1629;;Fyn-SdrJylland
83;185;sea;1885;-1;-1;-1;-1;;Estonia-Ösel
185;6201;sea;1885;-1;-1;-1;-1;;Ösel-Dagö
83;6201;sea;1660;-1;-1;-1;-1;;Dagö-Estonia
6891;3838;sea;5579;-1;-1;-1;-1;;Sardinia-Corsica
9793;9845;sea;8871;-1;-1;-1;-1;;Menorca-Mallorca
7396;1401;sea;5615;-1;-1;-1;-1;;Bangka Belitung-Sumatra
7396;4211;sea;4225;-1;-1;-1;-1;;Bangka-Belitung
1460;12126;sea;812;-1;-1;-1;-1;;Tanahbala-Sumatra
12126;1428;sea;812;-1;-1;-1;-1;;Tanahbala-Siberut
4306;4608;sea;5666;-1;-1;-1;-1;;Soerbaja-Madura
7654;4273;sea;2239;-1;-1;-1;-1;;Java-Bali
7293;4273;sea;2239;-1;-1;-1;-1;;Bali-Lombok
7293;10191;sea;2239;-1;-1;-1;-1;;Lombok-W.Nusa Tenggara
